noise_fraction,train_count,null_order,replicates,tail_energy_threshold_95,empirical_false_positive_rate,median_null_tail_energy
0.005,10,1,400,0.01895984006603318,0.05,0.0023013354670079014
0.005,10,2,400,0.007125922847178467,0.05,0.0021042384220282687
0.005,10,3,400,0.0030013416684670415,0.05,0.0006360526127819666
0.005,12,1,400,0.020663280188175107,0.05,0.0034622161755346005
0.005,12,2,400,0.009681285514819456,0.05,0.0035247803602589355
0.005,12,3,400,0.004626357966853296,0.05,0.001489935985190295
0.005,14,1,400,0.0243841111746216,0.05,0.004825749793228859
0.005,14,2,400,0.013125572252390538,0.05,0.0051149166779432265
0.005,14,3,400,0.007062132914250217,0.05,0.00251708419223768
0.005,15,1,400,0.028089756007076364,0.05,0.005567680623224481
0.005,15,2,400,0.01592640488920837,0.05,0.005916328851910009
0.005,15,3,400,0.008186149177168624,0.05,0.0032179056923278618
0.005,16,1,400,0.028374034485226175,0.05,0.006468661377796584
0.005,16,2,400,0.01860137402477959,0.05,0.006991991930700355
0.005,16,3,400,0.009755013904830188,0.05,0.0038967871423699362
0.005,20,1,400,0.03495260133440826,0.05,0.01047808026584262
0.005,20,2,400,0.027882948478339137,0.05,0.01170425316269623
0.005,20,3,400,0.015333751261379114,0.05,0.0071469626219861785
0.005,21,1,400,0.03691314706622698,0.05,0.011512952584318715
0.005,21,2,400,0.030060952497240615,0.05,0.01302370988616051
0.005,21,3,400,0.01696606218455569,0.05,0.008139295364671693
0.01,10,1,400,0.07701179329649471,0.05,0.009228156378017972
0.01,10,2,400,0.02414642722318084,0.05,0.007012515586459136
0.01,10,3,400,0.00866467715078959,0.05,0.002138270704908506
0.01,12,1,400,0.08283865122733705,0.05,0.013831115026458701
0.01,12,2,400,0.03438042012316637,0.05,0.011729293840095778
0.01,12,3,400,0.015538885937074283,0.05,0.004831360075056608
0.01,14,1,400,0.09956453978855005,0.05,0.018811280059249473
0.01,14,2,400,0.04891029376427238,0.05,0.017495239355337824
0.01,14,3,400,0.023265630959742295,0.05,0.008188065150813342
0.01,15,1,400,0.11044519101677484,0.05,0.02145556155231506
0.01,15,2,400,0.053247168797854905,0.05,0.020299830608631053
0.01,15,3,400,0.028136939644543318,0.05,0.010088546009276673
0.01,16,1,400,0.11875039877541099,0.05,0.02511492293541554
0.01,16,2,400,0.06170680799401083,0.05,0.02400509952405141
0.01,16,3,400,0.03295626873424967,0.05,0.012370456230810114
0.01,20,1,400,0.14706025467073727,0.05,0.03881040513020576
0.01,20,2,400,0.09551227870119124,0.05,0.03787031053550538
0.01,20,3,400,0.052973801896850164,0.05,0.0240446956931799
0.01,21,1,400,0.15053706688928123,0.05,0.042917498179981556
0.01,21,2,400,0.1039746657192707,0.05,0.042161882301982756
0.01,21,3,400,0.05861960297755315,0.05,0.027296855828590434
0.02,10,1,400,0.22886141745085403,0.05,0.035864434743505966
0.02,10,2,400,0.07477324394852379,0.05,0.021041867563797893
0.02,10,3,400,0.025275322987322494,0.05,0.00659929466563331
0.02,12,1,400,0.2615358776512729,0.05,0.05292530140494712
0.02,12,2,400,0.10693609570662851,0.05,0.03693484105609082
0.02,12,3,400,0.04210904485084512,0.05,0.014945690703116188
0.02,14,1,400,0.29493211204190145,0.05,0.0715469731732436
0.02,14,2,400,0.14704749128721778,0.05,0.055211791856084075
0.02,14,3,400,0.06076728730822237,0.05,0.025334437740499736
0.02,15,1,400,0.29781485286242265,0.05,0.08269129598298516
0.02,15,2,400,0.17253432015293188,0.05,0.06313405017131891
0.02,15,3,400,0.06768850505856938,0.05,0.03060331058531123
0.02,16,1,400,0.311218189676316,0.05,0.09390897346050658
0.02,16,2,400,0.18984648368318216,0.05,0.07262186064252127
0.02,16,3,400,0.0780245223037189,0.05,0.03713743694844429
0.02,20,1,400,0.36043881369636566,0.05,0.14424030847103236
0.02,20,2,400,0.2546160998110377,0.05,0.1138177771965779
0.02,20,3,400,0.12355858883832764,0.05,0.06714472554059375
0.02,21,1,400,0.3759197382577573,0.05,0.15431078322808922
0.02,21,2,400,0.27497151863391367,0.05,0.12763417514129446
0.02,21,3,400,0.13612854458588006,0.05,0.07671458344406289
0.03,10,1,400,0.374308235954752,0.05,0.07411804674183961
0.03,10,2,400,0.10965351448555892,0.05,0.041760198316540216
0.03,10,3,400,0.03795212024456713,0.05,0.011503256766935609
0.03,12,1,400,0.3897312069784415,0.05,0.10720623690377715
0.03,12,2,400,0.16086615968372453,0.05,0.067477309278277
0.03,12,3,400,0.06717791631675184,0.05,0.024954204553475835
0.03,14,1,400,0.4654658170649808,0.05,0.14279662632462098
0.03,14,2,400,0.2253245388821263,0.05,0.09957173080494787
0.03,14,3,400,0.09732826994836173,0.05,0.042511451583724685
0.03,15,1,400,0.47950833780686114,0.05,0.16422607282738017
0.03,15,2,400,0.24802826412062012,0.05,0.11375421081094204
0.03,15,3,400,0.1166129110524801,0.05,0.05178687508889391
0.03,16,1,400,0.5068391907221109,0.05,0.1871822628304542
0.03,16,2,400,0.27066555611898463,0.05,0.12772240218901895
0.03,16,3,400,0.13356798523823263,0.05,0.06190274915825925
0.03,20,1,400,0.5622172575243775,0.05,0.26504793013782535
0.03,20,2,400,0.34146085029492956,0.05,0.20115040764772374
0.03,20,3,400,0.2030551762627581,0.05,0.10888207629192248
0.03,21,1,400,0.5707327490707985,0.05,0.2853808182302439
0.03,21,2,400,0.3662948513966373,0.05,0.2188897503778053
0.03,21,3,400,0.22219951169180635,0.05,0.12097447207739048
