noise_fraction,truth_order,selected_order,cases,fraction
0.005,1,1,1900,0.95
0.005,1,2,23,0.0115
0.005,1,3,21,0.0105
0.005,1,4+,56,0.028
0.005,2,1,1404,0.702
0.005,2,2,500,0.25
0.005,2,3,19,0.0095
0.005,2,4+,77,0.0385
0.005,3,1,1545,0.7725
0.005,3,2,360,0.18
0.005,3,3,26,0.013
0.005,3,4+,69,0.0345
0.005,4,1,1524,0.762
0.005,4,2,430,0.215
0.005,4,3,17,0.0085
0.005,4,4+,29,0.0145
0.01,1,1,1900,0.95
0.01,1,2,8,0.004
0.01,1,3,9,0.0045
0.01,1,4+,83,0.0415
0.01,2,1,1921,0.9605
0.01,2,2,23,0.0115
0.01,2,3,3,0.0015
0.01,2,4+,53,0.0265
0.01,3,1,1956,0.978
0.01,3,2,7,0.0035
0.01,3,3,11,0.0055
0.01,3,4+,26,0.013
0.01,4,1,1999,0.9995
0.01,4,2,1,0.0005
0.01,4,3,0,0.0
0.01,4,4+,0,0.0
0.02,1,1,1900,0.95
0.02,1,2,13,0.0065
0.02,1,3,12,0.006
0.02,1,4+,75,0.0375
0.02,2,1,1941,0.9705
0.02,2,2,10,0.005
0.02,2,3,5,0.0025
0.02,2,4+,44,0.022
0.02,3,1,1988,0.994
0.02,3,2,4,0.002
0.02,3,3,3,0.0015
0.02,3,4+,5,0.0025
0.02,4,1,1990,0.995
0.02,4,2,9,0.0045
0.02,4,3,1,0.0005
0.02,4,4+,0,0.0
0.03,1,1,1900,0.95
0.03,1,2,12,0.006
0.03,1,3,11,0.0055
0.03,1,4+,77,0.0385
0.03,2,1,1948,0.974
0.03,2,2,16,0.008
0.03,2,3,5,0.0025
0.03,2,4+,31,0.0155
0.03,3,1,1987,0.9935
0.03,3,2,4,0.002
0.03,3,3,4,0.002
0.03,3,4+,5,0.0025
0.03,4,1,1993,0.9965
0.03,4,2,5,0.0025
0.03,4,3,2,0.001
0.03,4,4+,0,0.0
