series,log_heldout_mse_ratio_rank1_over_rank2,rank1_heldout_mse,rank2_heldout_mse,rank1_mode_per_epoch,rank2_modes_per_epoch,bootstrap_p_value,uncorrected_rank2_at_5_percent,holm_bonferroni_rank2_at_5_percent
math_qe__solver,3.235087601439991,0.0014302110534318451,5.628846900279675e-05,0.6400000000000001,0.25;0.7224999999999999,0.0004997501249375312,True,True
math_qe__verifier,-1.8384731615171235,9.99794123350249e-07,6.285637472555252e-06,0.81,0.7224999999999999;0.81,0.8555722138930535,False,False
math_qe__gap,1.0292907259917274,1.4507946355404162e-05,5.183112775549333e-06,0.6400000000000001,0.010000000000000002;0.6400000000000001,0.018490754622688656,True,False
gsm8k_qe__solver,0.37900749148489743,0.0004992841609392127,0.00034178022139342895,0.6400000000000001,0.48999999999999994;0.7224999999999999,0.0769615192403798,False,False
gsm8k_qe__verifier,-0.058390320468275594,2.257958839138489e-06,2.393726979908965e-06,0.81,0.7224999999999999;0.81,0.3278360819590205,False,False
gsm8k_qe__gap,0.4653650910063941,9.081649914577532e-05,5.702420841699244e-05,0.48999999999999994,0.48999999999999994;0.6400000000000001,0.04297851074462768,True,False
math_tf__solver,4.2788299564619,0.0010105469422505267,1.4005036763156691e-05,0.6400000000000001,0.48999999999999994;0.8464,0.0004997501249375312,True,True
math_tf__verifier,1.9017980535686008,9.040527419212885e-06,1.3497500961296939e-06,0.81,0.7224999999999999;0.9603999999999999,0.0009995002498750624,True,True
math_tf__gap,2.591673850417683,1.9606026302153135e-05,1.4683849632003656e-06,0.6400000000000001,0.36;0.7224999999999999,0.0004997501249375312,True,True
gsm8k_tf__solver,1.3605266444305422,0.00023936996165577177,6.140453346470768e-05,0.6400000000000001,0.48999999999999994;0.8464,0.004497751124437781,True,True
gsm8k_tf__verifier,1.4988066850521808,0.00011221290446492382,2.5067979496537063e-05,0.7224999999999999,0.48999999999999994;0.8835999999999999,0.0069965017491254375,True,True
gsm8k_tf__gap,4.556359942517911,0.0001262083694624928,1.325214487479797e-06,0.6400000000000001,0.25;0.6400000000000001,0.0004997501249375312,True,True
