run_a,run_b,standardized_wasserstein_distance
confirm-seed20260800,confirm-seed20260801,0.08012000322898069
confirm-seed20260800,confirm-seed20260802,0.20606317576085748
confirm-seed20260800,confirm-seed20260803,0.1710026846124801
confirm-seed20260800,confirm-seed20260804,0.27313726552837286
confirm-seed20260800,confirm-seed20260805,0.13947750785418594
confirm-seed20260801,confirm-seed20260802,0.24513972523966449
confirm-seed20260801,confirm-seed20260803,0.14376720321005698
confirm-seed20260801,confirm-seed20260804,0.30820359362789085
confirm-seed20260801,confirm-seed20260805,0.11896090621998115
confirm-seed20260802,confirm-seed20260803,0.31596980854523427
confirm-seed20260802,confirm-seed20260804,0.08993833943758373
confirm-seed20260802,confirm-seed20260805,0.2736414819922285
confirm-seed20260803,confirm-seed20260804,0.39177911187672715
confirm-seed20260803,confirm-seed20260805,0.08189138718930185
confirm-seed20260804,confirm-seed20260805,0.3469173366413334
