run_id,seed,window_width_steps,early_window_start,valley_window_start,late_window_start,selection_certificate_per_1000,evaluation_early_rate_per_1000,evaluation_valley_rate_per_1000,evaluation_late_rate_per_1000,evaluation_certificate_per_1000,uniform_error_radius,single_mode_rejected
confirm-seed20260800,20260800,800.0,100.0,900.0,4100.0,0.17787839586028464,0.19614326172918667,0.05340253286309719,0.46739740301378646,0.1427407288660895,0.028548145773217896,True
confirm-seed20260800,20260800,1000.0,100.0,1800.0,3900.0,0.11602522639068567,0.17633857005450465,0.06289408998610668,0.43772042321256815,0.11344448006839798,0.028361120017099496,True
confirm-seed20260800,20260800,1500.0,100.0,2000.0,3800.0,0.06748598533850803,0.13309109044921805,0.08629902746606818,0.3972427059955113,0.046792062983149876,0.017547023618681202,True
confirm-seed20260801,20260801,800.0,100.0,1600.0,4200.0,0.21832191780821916,0.24267874241940632,0.06087748696669861,0.45342257155016497,0.18180125545270773,0.03636025109054154,True
confirm-seed20260801,20260801,1000.0,100.0,1400.0,3700.0,0.15133724722765815,0.20547398659431856,0.051574635599531876,0.5055857006064475,0.15389935099478672,0.03847483774869668,True
confirm-seed20260801,20260801,1500.0,100.0,1600.0,3500.0,0.10013046314416174,0.14533461006490053,0.06995425045217579,0.40195765506968834,0.07538035961272474,0.028267634854771777,True
confirm-seed20260802,20260802,800.0,100.0,2500.0,13700.0,0.07356021296146155,0.08216494295767142,0.02039129971212283,0.3406713135728756,0.06177364324554859,0.012354728649109718,True
confirm-seed20260802,20260802,1000.0,100.0,2500.0,13500.0,0.05998324414896493,0.06861072609020152,0.016472971532146302,0.3240084230728222,0.052137754558055215,0.013034438639513804,True
confirm-seed20260802,20260802,1500.0,100.0,3600.0,13400.0,0.03721034384241779,0.05022618920689078,0.010790062906493222,0.3129775740128656,0.039436126300397556,0.014788547362649083,True
confirm-seed20260803,20260803,800.0,100.0,900.0,5500.0,0.3239779364049319,0.29465004022526153,0.032493072316081076,0.39702333065164924,0.26215696790918047,0.05243139358183609,True
confirm-seed20260803,20260803,1000.0,100.0,2000.0,5200.0,0.24833595995179392,0.246983105390185,0.03209081970143918,0.4459372485921159,0.21489228568874583,0.05372307142218646,True
confirm-seed20260803,20260803,1500.0,100.0,2000.0,4900.0,0.15331417446926857,0.17447632668871604,0.03094067518846285,0.3587556985787074,0.1435356515002532,0.05382586931259495,True
confirm-seed20260804,20260804,800.0,100.0,2600.0,12300.0,0.06139356649395508,0.06938889777635579,0.016763984429158003,0.503419452887538,0.05262491334719778,0.010524982669439556,True
confirm-seed20260804,20260804,1000.0,100.0,2400.0,12300.0,0.0466321243523316,0.062390017597184454,0.013411187543326403,0.43968964965605506,0.04897883005385805,0.012244707513464513,True
confirm-seed20260804,20260804,1500.0,100.0,2600.0,11700.0,0.03589933382679497,0.042766490694822155,0.010163707140190908,0.3527435610302353,0.03260278355463125,0.012226043832986717,True
confirm-seed20260805,20260805,800.0,100.0,1200.0,5300.0,0.3091658583899127,0.2900678134303672,0.020261329804829586,0.5089453081927444,0.2698064836255376,0.05396129672510752,True
confirm-seed20260805,20260805,1000.0,100.0,1200.0,5000.0,0.2515357258325251,0.23321204101885545,0.03220547233117521,0.4574925570625207,0.20100656868768021,0.050251642171920054,True
confirm-seed20260805,20260805,1500.0,100.0,1600.0,4700.0,0.15808695860425567,0.15804756128937406,0.030223314378127454,0.40462013452420337,0.12782424691124658,0.04793409259171747,True
