condition,step,epoch_equivalent,available_source_bits,information_lower_bound_bits,information_ci_low,information_ci_high,information_increment_proxy_bits,code_accuracy,code_loss_nats
closed,0,0.0,4,-0.04684875738923189,-0.1801940838979541,0.04903047246744047,0.0,0.46875,2.7369325160980225
closed,1,1.0,4,-11.099944367997187,-27.932316812399726,0.2773845573652749,-11.053095610607956,0.53125,2.5345306396484375
closed,2,2.0,4,-25.434597834153813,-64.79033204790133,1.0566506947814147,-14.334653466156626,0.5625,2.3457040786743164
closed,4,4.0,4,-0.10455267325299,-0.2616358426408476,-0.0013116837905465112,25.330045160900823,0.53125,2.15096116065979
closed,8,8.0,4,-0.479093570223075,-1.249506739878918,-0.11238752234123038,-0.374540896970085,0.46875,1.8939201831817627
closed,12,12.0,4,-0.411210835555587,-0.7687569234811996,-0.09150816651395928,0.06788273466748801,0.46875,1.6331557035446167
open,0,0.0,4,-0.04684875738923189,-0.1801940838979541,0.04903047246744047,0.0,0.46875,2.7369325160980225
open,1,1.0,4,-0.08809556245592559,-0.17894554939437554,0.006304019680050232,-0.041246805066693704,0.5,2.5842738151550293
open,2,2.0,4,-0.08896695375028768,-0.22651040477041018,0.0018350495770549646,-0.0008713912943620894,0.5,2.414257526397705
open,4,4.0,5,-0.08559538037628373,-0.27031195386296686,0.011834625616894301,0.0033715733740039555,0.53125,2.197598695755005
open,8,8.0,6,-0.08298517867071922,-0.2730223203870604,0.012994436893521848,0.002610201705564502,0.53125,1.9668238162994385
open,12,12.0,7,-0.08526480277401643,-0.2784573192888506,0.014048412870180353,-0.002279624103297212,0.53125,1.7043991088867188
