rho,metric,problems,endpoint_gain_mean,endpoint_gain_ci_low,endpoint_gain_ci_high,terminal_minus_neutral_mean,terminal_minus_neutral_ci_low,terminal_minus_neutral_ci_high
-6.0,mean_fitness,31,-0.049221850758826874,-0.08942634771409791,-0.016294073883107767,-0.06355633605112815,-0.10736156397074173,-0.02564787940429583
-6.0,mean_accuracy,31,-0.012096774193548387,-0.036290322580645164,0.0,-0.004032258064516129,-0.012096774193548387,0.0
-2.0,mean_fitness,31,-0.00895828249063337,-0.02917777777990361,0.00753661885300415,-0.023292767782934643,-0.055112168797470266,0.002960885791958283
-2.0,mean_accuracy,31,0.004032258064516129,0.0,0.012096774193548387,0.012096774193548387,0.0,0.036290322580645164
0.0,mean_fitness,31,0.01433448529230127,-0.00635432983870097,0.03627965784642148,0.0,0.0,0.0
0.0,mean_accuracy,31,-0.008064516129032258,-0.024193548387096774,0.0,0.0,0.0,0.0
2.0,mean_fitness,31,0.1190496291019144,0.05102119517519121,0.20135886475692197,0.10471514380961312,0.038709535164541585,0.1912824093238573
2.0,mean_accuracy,31,0.07661290322580645,0.008064516129032258,0.16532258064516125,0.0846774193548387,0.008064516129032258,0.1814516129032258
6.0,mean_fitness,31,0.11814462686768498,0.06687378747787594,0.17719633713054284,0.10381014157538371,0.053695973286804165,0.16523053238882487
6.0,mean_accuracy,31,0.036290322580645164,0.0,0.09274193548387097,0.04435483870967742,0.0,0.11693548387096774
