rho,round,n,mean_accuracy_mean,mean_accuracy_se,mean_fitness_mean,mean_fitness_se,pass_at_4_mean,pass_at_4_se,distinct_fraction_mean,distinct_fraction_se,effective_answers_mean,effective_answers_se,invalid_fraction_mean,invalid_fraction_se,regressions,recoveries,fitness_regressions,fitness_improvements
-6.0,0,5,0.0,0.0,0.03484848484848484,0.022298995023618456,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.09999999999999999,0.0,0.0,0.0,0.0
-6.0,1,5,0.0,0.0,0.02363636363636364,0.02363636363636364,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.2,0.19999999999999998,0.0,0.0,2.0,3.0
-6.0,2,5,0.0,0.0,0.01575757575757576,0.01575757575757576,0.0,0.0,0.55,0.049999999999999996,1.9733333333333334,0.19504985117770385,0.2,0.19999999999999998,0.0,0.0,0.0,0.0
-6.0,3,5,0.0,0.0,0.00787878787878788,0.00787878787878788,0.0,0.0,0.65,0.06123724356957944,2.2399999999999998,0.26127890589687225,0.3,0.19999999999999998,0.0,0.0,0.0,0.0
-2.0,0,5,0.0,0.0,0.03484848484848484,0.022298995023618456,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.09999999999999999,0.0,0.0,0.0,0.0
-2.0,1,5,0.0,0.0,0.036363636363636355,0.022452889154960846,0.0,0.0,0.55,0.09354143466934853,1.9866666666666668,0.31999999999999995,0.1,0.09999999999999999,0.0,0.0,5.0,1.0
-2.0,2,5,0.0,0.0,0.04333333333333333,0.02768874620972691,0.0,0.0,0.65,0.06123724356957944,2.4,0.16329931618554516,0.1,0.09999999999999999,0.0,0.0,1.0,2.0
-2.0,3,5,0.0,0.0,0.056666666666666664,0.03929942040850532,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.1,0.09999999999999999,0.0,0.0,2.0,2.0
0.0,0,5,0.0,0.0,0.03484848484848484,0.022298995023618456,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.09999999999999999,0.0,0.0,0.0,0.0
0.0,1,5,0.0,0.0,0.0462566844919786,0.027979948763335715,0.0,0.0,0.75,0.0,2.6666666666666665,0.0,0.2,0.1457737973711325,0.0,0.0,0.0,5.0
0.0,2,5,0.0,0.0,0.025454545454545452,0.025454545454545452,0.0,0.0,0.5,0.07905694150420949,1.853333333333333,0.27357712704910914,0.4,0.18708286933869706,0.0,0.0,4.0,0.0
0.0,3,5,0.0,0.0,0.038181818181818185,0.03053847924204636,0.0,0.0,0.7,0.09354143466934853,2.506666666666667,0.4430199393556306,0.55,0.18371173070873836,0.0,0.0,0.0,5.0
2.0,0,5,0.0,0.0,0.03484848484848484,0.022298995023618456,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.09999999999999999,0.0,0.0,0.0,0.0
2.0,1,5,0.0,0.0,0.055811051693404626,0.028633277466401097,0.0,0.0,0.6,0.06123724356957944,2.1066666666666665,0.23999999999999996,0.2,0.09354143466934853,0.0,0.0,5.0,4.0
2.0,2,5,0.0,0.0,0.054563279857397506,0.030494498391477744,0.0,0.0,0.65,0.06123724356957944,2.32,0.22150996967781528,0.2,0.1457737973711325,0.0,0.0,7.0,3.0
2.0,3,5,0.0,0.0,0.06000000000000001,0.03711842908553348,0.0,0.0,0.6,0.06123724356957944,2.2666666666666666,0.16329931618554516,0.2,0.19999999999999998,0.0,0.0,3.0,5.0
6.0,0,5,0.0,0.0,0.03484848484848484,0.022298995023618456,0.0,0.0,1.0,0.0,4.0,0.0,0.15,0.09999999999999999,0.0,0.0,0.0,0.0
6.0,1,5,0.0,0.0,0.012709447415329759,0.011987691256454401,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.3,0.09354143466934853,0.0,0.0,5.0,2.0
6.0,2,5,0.0,0.0,0.01636363636363635,0.01636363636363635,0.0,0.0,0.75,0.07905694150420949,2.8,0.32659863237109044,0.3,0.18371173070873836,0.0,0.0,0.0,0.0
6.0,3,5,0.0,0.0,0.031800356506238844,0.01921985691182878,0.0,0.0,0.7,0.049999999999999996,2.533333333333333,0.1333333333333333,0.15,0.15,0.0,0.0,0.0,4.0
